SETU_CCNCT,pollutant,localidad,LL_years_count,years_as_LL,total_population,children_0_9,older_adults_60_plus,IPM_PROMEDIO,ESTRATO_MAYORITARIO
110011000000005112,CO,TEUSAQUILLO,6,2012;2013;2014;2016;2017;2020,0,0,0,0.0,1
110011000000005113,CO,TEUSAQUILLO,6,2012;2013;2014;2016;2017;2020,9823,646,2818,0.0133333333333333,4
110011000000005204,CO,BARRIOS UNIDOS,6,2012;2013;2014;2016;2017;2020,8830,885,1476,0.0547272727272727,3
110011000000005301,CO,SUBA,6,2012;2013;2014;2017;2018;2020,9462,699,2299,0.0208955223880597,5
110011000000005304,CO,SUBA,6,2011;2012;2013;2014;2018;2020,4715,328,1199,0.0466,5
110011000000005306,CO,BARRIOS UNIDOS,6,2012;2013;2014;2017;2018;2020,2469,132,736,0.0404545454545454,4
110011000000005403,CO,SUBA,6,2012;2013;2014;2017;2018;2020,10667,866,2494,0.0598529411764705,4
110011000000005404,CO,ENGATIVA,6,2012;2013;2014;2016;2017;2020,10259,1076,1673,0.073469387755102,3
110011000000005406,CO,ENGATIVA,6,2012;2013;2014;2016;2017;2020,12474,1075,2418,0.0609090909090909,3
110011000000005501,CO,ENGATIVA,6,2012;2013;2014;2016;2017;2020,4147,392,717,0.0556521739130434,3
110011000000005508,CO,ENGATIVA,6,2013;2014;2015;2016;2017;2020,4592,421,717,0.0487096774193548,3
110011000000005510,CO,ENGATIVA,6,2012;2013;2014;2016;2017;2020,5618,586,876,0.0524,3
110011000000005604,CO,ENGATIVA,6,2013;2014;2016;2017;2019;2020,6583,678,1000,0.0596875,3
110011000000005606,CO,ENGATIVA,6,2013;2014;2015;2016;2017;2019,11741,919,2526,0.0422222222222222,4
110011000000005610,CO,ENGATIVA,6,2013;2014;2017;2018;2019;2020,8452,872,1226,0.0753333333333333,3
110011000000005614,CO,ENGATIVA,6,2013;2014;2015;2016;2017;2019,14616,1277,2821,0.0446428571428571,3
110011000000005618,CO,ENGATIVA,6,2013;2014;2017;2018;2019;2024,8454,805,1554,0.0681395348837209,3
110011000000005624,CO,ENGATIVA,6,2013;2016;2017;2019;2021;2023,510,42,39,0.184,3
110011000000005627,CO,ENGATIVA,6,2017;2019;2021;2022;2023;2024,12091,1276,1929,0.072051282051282,3
110011000000005630,CO,ENGATIVA,6,2013;2017;2019;2021;2023;2024,40429,4826,4695,0.0655982905982906,2
110011000000005632,CO,ENGATIVA,6,2017;2019;2021;2022;2023;2024,43756,5862,3887,0.1017061611374408,2
110011000000005635,CO,ENGATIVA,6,2017;2019;2021;2022;2023;2024,16027,1480,2570,0.0508620689655172,3
110011000000006302,CO,FONTIBON,6,2010;2013;2015;2016;2017;2019,8690,973,1304,0.0560526315789473,4
110011000000008409,CO,CHAPINERO,6,2013;2014;2018;2019;2020;2021,83,11,0,0.034,4
110011000000008410,CO,CHAPINERO,6,2013;2014;2018;2019;2020;2021,764,158,11,0.03,4
110011000000008527,CO,SUBA,6,2018;2019;2021;2022;2023;2024,8841,1029,1218,0.0863636363636363,4
110011000000008531,CO,SUBA,6,2018;2019;2021;2022;2023;2024,39,1,3,0.4733333333333333,2
110011000000008533,CO,SUBA,6,2018;2019;2021;2022;2023;2024,1853,248,160,0.1038461538461539,2
110011000000009113,CO,SUBA,6,2018;2019;2021;2022;2023;2024,4418,361,709,0.0824242424242424,5
110011000000009118,CO,SUBA,6,2013;2014;2018;2019;2020;2021,10128,736,2294,0.034,5
110011000000009203,CO,SUBA,6,2014;2018;2019;2021;2023;2024,16333,2331,1622,0.1291549295774648,2
110011000000009204,CO,SUBA,6,2014;2018;2019;2020;2021;2024,21882,3173,1745,0.0962280701754386,2
110011000000009206,CO,SUBA,6,2014;2019;2021;2022;2023;2024,14656,2288,1435,0.1301694915254237,2
110011000000009209,CO,SUBA,6,2018;2019;2021;2022;2023;2024,14146,1758,1803,0.07375,2
110011000000009210,CO,SUBA,6,2018;2019;2021;2022;2023;2024,57497,5936,7883,0.0575,3
110011000000009211,CO,SUBA,6,2018;2019;2021;2022;2023;2024,41546,5467,4004,0.0912578616352201,2
110011000000009212,CO,SUBA,6,2018;2019;2021;2022;2023;2024,9351,1186,930,0.1564444444444444,3
110011000000009215,CO,SUBA,6,2018;2019;2021;2022;2023;2024,79417,11152,7139,0.1093134328358209,2
110011000000009217,CO,SUBA,6,2018;2019;2021;2022;2023;2024,40622,4237,5055,0.0515873015873015,3
110011000000001102,CO,SAN CRISTOBAL,5,2010;2011;2012;2015;2023,8859,1150,950,0.1302222222222222,2
110011000000001104,CO,SAN CRISTOBAL,5,2010;2011;2012;2015;2023,4494,736,433,0.2582142857142857,1
110011000000001107,CO,SAN CRISTOBAL,5,2010;2011;2012;2015;2023,6564,883,861,0.1048571428571429,2
110011000000001109,CO,SAN CRISTOBAL,5,2010;2011;2012;2015;2023,1984,183,363,0.0804545454545454,3
110011000000001110,CO,SAN CRISTOBAL,5,2010;2011;2012;2015;2023,1515,145,266,0.0876923076923077,3
110011000000001111,CO,SAN CRISTOBAL,5,2010;2011;2012;2015;2023,2824,296,513,0.1006896551724138,3
110011000000001112,CO,SAN CRISTOBAL,5,2010;2011;2012;2015;2023,886,87,159,0.1109090909090909,3
110011000000001114,CO,SAN CRISTOBAL,5,2010;2011;2012;2015;2023,1424,144,276,0.07,3
110011000000001207,CO,SAN CRISTOBAL,5,2010;2011;2012;2015;2023,5104,495,770,0.0604347826086956,3
110011000000001331,CO,SAN CRISTOBAL,5,2010;2011;2012;2015;2024,2984,391,362,0.1785185185185185,2
110011000000001332,CO,SAN CRISTOBAL,5,2010;2011;2012;2015;2024,14319,1907,1854,0.147421875,2
110011000000001402,CO,RAFAEL URIBE URIBE,5,2010;2011;2015;2016;2017,14164,1540,2217,0.0602197802197802,3
110011000000001403,CO,RAFAEL URIBE URIBE,5,2010;2011;2015;2016;2017,7552,767,991,0.0369565217391304,3
110011000000001406,CO,SAN CRISTOBAL,5,2010;2011;2012;2015;2024,7842,770,1127,0.0768965517241379,2
110011000000001407,CO,SAN CRISTOBAL,5,2010;2011;2012;2015;2024,2002,194,334,0.1428571428571428,3
