pollutant,year,cluster,total_population,children_0_9,youth_10_19,adults_20_59,older_adults_60_plus,avg_IPM,sector_count
PM2.5,2019,HH,1699891,215251,252441,1025059,207140,0.09454103882803715,106
PM2.5,2019,HL,14164,1540,1999,8408,2217,0.0602197802197802,1
PM2.5,2019,LH,64047,8133,9024,39896,6994,0.1748452049674898,3
PM2.5,2019,LL,1301280,152665,185292,786087,177236,0.11850422417933974,155
PM2.5,2019,NS,4030026,475087,568154,2442286,544499,0.09340332920469696,360
PM2.5,2020,HH,1506060,178567,210287,920791,196415,0.0870338571025578,118
PM2.5,2020,LH,146924,19545,25045,89271,13063,0.10125807460659675,4
PM2.5,2020,LL,1578590,180728,218991,947614,231257,0.11494046628462067,164
PM2.5,2020,NS,3877834,473836,562587,2344060,497351,0.0975639966524388,339
PM2.5,2021,HH,1278316,148460,175503,779695,174658,0.08519359982567584,109
PM2.5,2021,LH,38304,4120,5218,22829,6137,0.08909074386053407,4
PM2.5,2021,LL,1654165,185063,221965,995984,251153,0.09466905693144974,158
PM2.5,2021,NS,4138623,515033,614224,2503228,506138,0.107342605708398,354
PM2.5,2022,HH,2708275,348978,410768,1631826,316703,0.10464313325947067,164
PM2.5,2022,LL,1527380,161750,192392,930263,242975,0.08299008308519923,158
PM2.5,2022,NS,2873753,341948,413750,1739647,378408,0.1066849894071554,303
PM2.5,2023,HH,2601415,338174,399526,1572582,291133,0.1100220742391503,137
PM2.5,2023,LL,1717464,190520,227417,1035844,263683,0.10511760264889307,185
PM2.5,2023,NS,2790529,323982,389967,1693310,383270,0.09267220498869289,303
PM2.5,2024,HH,2338369,300064,353267,1414772,270266,0.09888413007690652,121
PM2.5,2024,LL,1753027,196218,235673,1048655,272481,0.10440303606363319,194
PM2.5,2024,NS,3018012,356394,427970,1838309,395339,0.098000935602362,310
SO2,2011,HH,2196607,296834,345874,1297825,256074,0.11644074066800122,139
SO2,2011,LL,2461909,245797,301428,1521171,393513,0.05937775160983792,221
SO2,2011,NS,2450892,310045,369608,1482740,288499,0.1256291045802128,265
SO2,2012,HH,2294380,310496,361290,1355526,267068,0.11632516373514173,144
SO2,2012,LL,2612446,265619,323488,1612789,410550,0.06135345317915072,221
SO2,2012,NS,2202582,276561,332132,1333421,260468,0.1241904693920386,260
SO2,2014,HH,2017758,227081,273529,1243517,273631,0.08245525733838745,106
SO2,2014,LL,926287,116339,141994,545264,122690,0.13007540793108577,131
SO2,2014,NS,4165363,509256,601387,2512955,541765,0.09489516251428208,388
SO2,2015,HH,2202205,286565,337757,1335619,242264,0.10654399080397228,101
SO2,2015,LL,923947,116623,142320,544077,120927,0.13382308213327354,133
SO2,2015,NS,3983256,449488,536833,2422040,574895,0.08705894060730479,391
SO2,2016,HH,2463873,320286,378343,1489666,275578,0.10569968040850018,126
SO2,2016,LL,500697,39981,46681,316563,97472,0.06839269622633404,119
SO2,2016,NS,4144838,492409,591886,2495507,565036,0.10826991628941574,380
SO2,2017,HH,1759024,231793,271440,1035220,220571,0.11500418306197628,134
SO2,2017,LL,2621809,265173,324166,1621686,410784,0.059120681133288416,233
SO2,2017,NS,2728575,355710,421304,1644830,306731,0.12951077340318498,258
SO2,2018,HH,2079712,282011,330853,1246836,220012,0.12260163829750734,95
SO2,2018,LL,827570,72886,90880,517792,146012,0.06972557051527792,168
SO2,2018,NS,4202126,497779,595177,2537108,572062,0.10839339029710737,362
SO2,2019,HH,1678216,216825,255040,1005571,200780,0.11133940618818707,94
SO2,2019,LL,956932,80743,96323,591255,188611,0.060432239459499215,166
SO2,2019,NS,4474260,555108,665547,2704910,548695,0.11534740504223644,365
SO2,2020,HH,1789202,240367,280546,1058958,209331,0.11414363421008475,101
SO2,2020,LL,1279056,110826,134585,789578,244067,0.050754233895516566,176
SO2,2020,NS,4041150,501483,601779,2453200,484688,0.12108680043549791,348
SO2,2021,HH,1943858,266903,310320,1137801,228834,0.13929368939629336,141
SO2,2021,LL,2307333,224556,274167,1423755,384855,0.05814872754642272,239
SO2,2021,NS,2858217,361217,432423,1740180,324397,0.11861837830167493,245
SO2,2022,HH,2454081,351370,405255,1439586,257870,0.15069378757615362,150
SO2,2022,LL,1979707,213208,259516,1228202,278781,0.07432140685989443,185
SO2,2022,NS,2675620,288098,352139,1633948,401435,0.09050320816165255,290
SO2,2023,HH,2705807,385549,443653,1591798,284807,0.1480137831589314,166
SO2,2023,LL,1634926,147374,180347,1009776,297429,0.059487964146363835,227
SO2,2023,NS,2768675,319753,392910,1700162,355850,0.1057129435636877,232
SO2,2024,HH,1884886,260022,302438,1115318,207108,0.15080163289515802,131
SO2,2024,LL,1530737,137584,167974,945636,279543,0.05944479679292287,213
SO2,2024,NS,3693785,455070,546498,2240782,451435,0.1074117549687704,281
eBC,2021,HH,2793304,368022,428699,1676812,319771,0.11199888339570387,165
eBC,2021,LL,1271330,132275,160039,770170,208846,0.09673451515969167,170
eBC,2021,NS,3044774,352379,428172,1854754,409469,0.09543026012049664,290
eBC,2022,HH,2726726,361480,425821,1640625,298800,0.12538827618961096,134
eBC,2022,LL,811285,88099,110681,492749,119756,0.11023910439329197,161
eBC,2022,NS,3571397,403097,480408,2168362,519530,0.08499676956259054,330
eBC,2023,HH,2333419,287554,341013,1426045,278807,0.09518713474335765,120
eBC,2023,LL,1237676,157519,188952,732239,158966,0.13018113524649205,176
eBC,2023,NS,3538313,407603,486945,2143452,500313,0.08591222735500678,329
