localidad,pollutant,year,cluster,total_population,children_0_9,older_adults_60_plus,avg_IPM,sector_count
SUBA,O3,2020,NS,1302428,143739,182323,0.07263996352262818,69
SUBA,O3,2021,LL,801063,82820,126869,0.05508490147881179,51
SUBA,O3,2021,NS,501365,60919,55454,0.1223793059801079,18
SUBA,O3,2022,HH,66869,5906,13691,0.0393840171183878,7
SUBA,O3,2022,LL,1140953,129808,149262,0.06812369413952933,49
SUBA,O3,2022,NS,94606,8025,19370,0.1075698731073609,13
SUBA,O3,2023,HH,33351,2716,7589,0.047808661489543804,4
SUBA,O3,2023,LL,1159434,131212,152466,0.0695179770134955,50
SUBA,O3,2023,NS,109643,9811,22268,0.08966826576189288,15
SUBA,O3,2024,HH,70937,6183,14517,0.036480245747820085,8
SUBA,O3,2024,HL,41546,5467,4004,0.0912578616352201,1
SUBA,O3,2024,LL,913906,105981,117465,0.07115951979502486,33
SUBA,O3,2024,NS,276039,26108,46337,0.08447383341510158,27
SUBA,PM10,2010,LL,537834,49381,97527,0.06466476713644231,46
SUBA,PM10,2010,NS,764594,94358,84796,0.08859035629499987,23
SUBA,PM10,2011,LL,362783,33228,66437,0.07316033257301488,31
SUBA,PM10,2011,NS,939645,110511,115886,0.07221545192889166,38
SUBA,PM10,2012,LL,251211,23451,42332,0.09021214710675295,20
SUBA,PM10,2012,NS,1051217,120288,139991,0.06546764369237316,49
SUBA,PM10,2013,LL,206551,17871,43152,0.039219006396434206,21
SUBA,PM10,2013,NS,1095877,125868,139171,0.08726163226533802,48
SUBA,PM10,2014,LL,562240,56551,95828,0.04757830055575599,40
SUBA,PM10,2014,NS,740188,87188,86495,0.10720777451141739,29
SUBA,PM10,2015,LL,332243,30286,61394,0.07150768037164523,25
SUBA,PM10,2015,NS,970185,113453,120929,0.0732833062220503,44
SUBA,PM10,2016,LL,58429,5395,9460,0.17610164194197805,7
SUBA,PM10,2016,NS,1243999,138344,172863,0.06095880628173383,62
SUBA,PM10,2017,HH,174923,18568,20650,0.052865501347096396,3
SUBA,PM10,2017,LL,58429,5395,9460,0.17610164194197805,7
SUBA,PM10,2017,NS,1069076,119776,152213,0.06137033026146116,59
SUBA,PM10,2018,HH,98119,10173,12938,0.054543650793650755,2
SUBA,PM10,2018,LL,53724,5002,10064,0.11402989563219086,7
SUBA,PM10,2018,NS,1150585,128564,159321,0.0684143485341451,60
SUBA,PM10,2019,HH,493043,61471,50482,0.07985527618998843,11
SUBA,PM10,2019,LL,200522,17496,40413,0.08616216108776965,22
SUBA,PM10,2019,NS,608863,64772,91428,0.06217171947334829,36
SUBA,PM10,2020,LL,130932,11622,27031,0.04135531280308627,13
